Professional and business services,"10,743","2,596","3,826",452,"1,783",312,557,16,160,285,262,494
Education and health services,"8,691","1,135","5,066",132,"1,388",40,383,0,80,191,72,204
Leisure and hospitality,"7,005",992,540,142,"4,332",298,207,4,35,108,65,282
Other services,"3,500",318,559,12,594,260,66,2,13,"1,077",304,294
"Other services, except private households","3,440",318,557,12,549,260,65,2,12,"1,077",304,282
Private households,60,0,2,0,45,0,1,0,1,0,0,11
Public administration,"3,762",616,810,"1,524",167,19,266,12,85,127,56,78
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Agriculture and related,621,281,16,1,37,8,74,183,1,0,8,13
"Mining, quarrying, and oil and gas extraction",106,33,25,0,2,1,37,0,3,0,3,2
Construction,939,245,48,4,10,20,403,0,188,8,5,8
Manufacturing,"4,460",852,483,4,82,223,800,32,9,29,"1,708",237
Durable goods,"2,418",511,281,2,28,87,497,0,5,22,872,112
Nondurable goods,"2,042",341,202,2,54,136,303,31,4,7,836,126
Wholesale and retail trade,"9,005",670,632,16,371,"4,990","1,788",19,6,27,180,308
Wholesale trade,"1,074",194,50,0,16,348,337,16,0,5,30,77
Retail trade,"7,932",475,581,16,355,"4,643","1,450",3,5,22,149,231
Transportation and utilities,"1,883",269,81,8,52,33,810,0,8,12,55,557
Information,"1,160",264,390,3,40,139,279,0,2,23,6,14
Financial activities,"5,437","2,066",376,31,98,"1,077","1,750",1,1,8,16,13
Professional and business services,"7,581","2,049","2,113",127,"1,042",292,"1,751",2,7,14,87,97
Education and health services,"25,572","2,180","13,789",73,"5,977",81,"3,164",1,4,20,99,185
Leisure and hospitality,"7,189",898,414,64,"4,418",781,477,1,3,6,69,58
Other services,"3,820",426,401,7,"2,170",98,524,0,2,26,137,30
"Other services, except private households","3,157",422,397,7,"1,518",98,522,0,2,26,136,29
Private households,664,4,4,0,652,0,2,0,0,0,1,1
Public administration,"3,095",689,905,355,195,19,898,6,3,3,13,10
,,,,,,,,,,,,
White,,,,,,,,,,,,
Agriculture and related,"2,309","1,045",48,12,90,15,82,872,10,37,30,68
"Mining, quarrying, and oil and gas extraction",694,136,119,2,7,13,41,0,209,47,49,73
Construction,"9,210","1,642",222,8,46,95,438,3,"5,897",500,137,221
Manufacturing,"12,410","2,322","1,703",23,175,559,"1,091",42,267,551,"4,731",946
Durable goods,"7,889","1,515","1,247",13,68,290,661,6,210,351,"2,999",529
Nondurable goods,"4,521",806,456,10,107,269,429,36,57,200,"1,732",417
Wholesale and retail trade,"16,051","1,319",869,52,545,"8,166","2,458",35,78,638,421,"1,470"
Wholesale trade,"3,019",477,130,3,30,"1,167",461,26,19,112,80,514
Retail trade,"13,032",842,738,49,515,"6,999","1,997",9,58,526,341,956
Transportation and utilities,"5,899",706,287,22,90,73,"1,171",1,157,444,265,"2,684"
Information,"2,241",499,844,4,56,265,296,0,8,206,24,38
Financial activities,"8,316","3,536",604,46,252,"1,874","1,694",1,41,157,31,80
Professional and business services,"14,446","3,789","4,627",337,"2,317",495,"1,805",16,134,249,257,418
Education and health services,"26,122","2,636","14,917",133,"4,858",97,"2,828",1,72,174,127,280
Leisure and hospitality,"10,776","1,463",787,148,"6,659",701,508,3,28,93,108,277
Other services,"5,724",614,765,17,"2,017",298,498,2,13,919,341,241
"Other services, except private households","5,115",610,760,17,"1,429",298,495,2,13,919,340,233
Private households,609,4,5,0,588,0,2,0,1,0,0,9
Public administration,"5,115",956,"1,275","1,492",235,24,827,14,73,104,56,59
,,,,,,,,,,,,
Black or African American,,,,,,,,,,,,
Agriculture and related,66,11,1,2,2,1,1,31,0,0,5,12
"Mining, quarrying, and oil and gas extraction",51,8,7,0,1,0,6,0,15,3,5,6
Construction,599,71,15,3,9,2,20,0,416,34,8,20
Manufacturing,"1,534",107,127,5,39,28,128,13,24,41,794,228
Durable goods,864,56,75,2,17,10,79,0,18,26,471,110
Nondurable goods,669,51,52,3,23,18,49,13,5,15,323,118
Wholesale and retail trade,"2,290",104,106,9,93,"1,100",479,6,9,56,60,268
Wholesale trade,306,33,14,0,7,63,60,6,2,7,13,100
Retail trade,"1,984",71,91,9,86,"1,037",419,0,7,49,47,167
Transportation and utilities,"1,443",85,34,5,24,17,335,0,21,45,48,828
Information,317,53,78,1,14,48,74,0,0,44,3,3
Financial activities,"1,079",372,68,14,55,191,302,0,5,39,8,24
Professional and business services,"1,786",319,346,180,329,64,318,0,21,27,56,125
Education and health services,"5,103",439,"2,148",62,"1,837",17,453,0,8,23,28,88
Leisure and hospitality,"1,790",164,85,29,"1,131",234,83,1,5,9,16,32
Other services,779,74,111,2,313,29,51,0,1,92,52,54
"Other services, except private households",724,74,110,2,262,29,50,0,1,92,51,52
Private households,55,0,1,0,51,0,0,0,0,0,0,2
Public administration,"1,145",228,260,283,69,11,237,2,10,15,9,22
,,,,,,,,,,,,
Asian,,,,,,,,,,,,
Agriculture and related,28,11,1,0,1,0,1,12,0,0,1,2
"Mining, quarrying, and oil and gas extraction",18,8,7,0,0,0,2,0,0,0,0,1
Construction,198,37,20,1,1,4,10,0,111,10,2,2
Manufacturing,"1,042",201,310,0,10,36,44,3,4,21,377,36
Durable goods,690,130,238,0,4,19,26,0,4,18,238,14
Nondurable goods,353,71,73,0,6,17,18,3,0,3,139,22
Wholesale and retail trade,"1,193",110,151,2,34,599,161,2,1,24,40,69
Wholesale trade,219,57,20,0,1,74,33,2,0,3,5,24
Retail trade,973,53,131,2,33,524,128,0,1,21,35,45
Transportation and utilities,425,56,32,1,8,3,106,0,5,16,6,191
Information,216,46,120,0,4,14,15,0,0,10,5,0
Financial activities,729,305,166,4,14,112,119,0,1,5,2,2
Professional and business services,"1,516",430,816,27,60,30,108,0,6,10,18,11
Education and health services,"2,056",148,"1,329",4,383,6,156,0,2,9,12,9
Leisure and hospitality,920,193,44,7,519,75,47,0,2,6,6,19
Other services,562,36,60,0,333,22,26,0,0,41,31,12
"Other services, except private households",532,36,60,0,304,22,26,0,0,41,31,11
Private households,30,0,0,0,29,0,0,0,0,0,0,1
Public administration,310,69,113,41,29,2,44,2,2,4,1,3
,,,,,,,,,,,,
NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data.,,,,,,,,,,,,
