"Mining, quarrying, and
oil and gas extraction",656,135,95,4,4,7,44,1,207,49,38,70
Construction,"9,500","1,816",221,11,39,107,450,5,"5,958",554,136,203
Manufacturing,"12,319","2,300","1,738",29,162,536,"1,073",51,271,588,"4,632",940
Durable goods,"7,812","1,481","1,244",18,72,265,694,5,205,370,"2,959",499
Nondurable goods,"4,507",819,495,11,90,271,379,45,66,218,"1,674",441
Wholesale and retail trade,"16,017","1,255",929,50,504,"8,056","2,558",48,86,605,449,"1,478"
Wholesale trade,"2,963",441,139,3,26,"1,157",433,39,18,109,88,510
Retail trade,"13,055",814,791,47,478,"6,899","2,125",9,68,496,360,968
Transportation and utilities,"5,964",721,302,24,95,107,"1,139",4,152,460,321,"2,637"
Information,"2,261",459,870,5,60,264,314,0,11,221,32,25
Financial activities,"8,395","3,615",627,42,236,"1,918","1,642",0,43,155,32,84
Professional and business services,"14,783","3,958","4,729",313,"2,475",539,"1,781",14,107,242,225,399
Education and health services,"26,269","2,653","15,190",117,"4,819",76,"2,758",4,65,163,112,311
Leisure and hospitality,"10,680","1,555",820,148,"6,453",674,526,4,30,95,102,273
Other services,"5,792",573,793,24,"2,024",316,502,2,23,943,352,239
"Other services, except private households","5,247",567,789,24,"1,501",316,499,2,22,943,352,232
Private households,545,6,3,0,523,0,4,0,1,0,0,7
Public administration,"5,275","1,016","1,320","1,480",225,21,856,17,86,128,64,60
,,,,,,,,,,,,
Black or African American,,,,,,,,,,,,
Agriculture and related,75,10,1,0,3,0,3,42,0,1,2,11
"Mining, quarrying, and
oil and gas extraction",42,4,6,0,1,0,6,0,13,3,4,6
Construction,652,80,17,1,4,1,16,0,460,33,17,22
Manufacturing,"1,556",120,113,6,26,34,131,7,18,47,840,213
Durable goods,907,70,68,5,10,17,77,0,14,35,496,115
Nondurable goods,649,50,45,1,16,17,54,7,4,12,344,99
Wholesale and retail trade,"2,381",101,88,11,99,"1,135",484,7,6,55,70,324
Wholesale trade,334,24,9,0,6,65,59,7,4,10,16,134
Retail trade,"2,047",77,78,11,93,"1,070",425,1,2,46,54,190
Transportation and utilities,"1,531",90,37,8,43,12,383,0,11,46,37,865
Information,337,45,99,1,7,45,82,0,0,47,3,7
Financial activities,"1,090",392,99,16,58,186,293,0,4,19,5,20
Professional and business services,"1,880",331,394,185,360,62,324,1,13,32,44,133
Education and health services,"5,121",407,"2,289",51,"1,689",15,505,0,14,26,34,89
Leisure and hospitality,"1,878",189,87,33,"1,166",229,89,0,2,9,22,54
Other services,835,72,115,3,354,31,52,0,0,92,43,74
"Other services, except private households",768,71,113,3,290,31,52,0,0,92,43,73
Private households,67,0,2,0,64,0,0,0,0,0,0,1
Public administration,"1,209",234,301,323,54,7,224,0,10,20,10,26
,,,,,,,,,,,,
Asian,,,,,,,,,,,,
Agriculture and related,35,14,2,0,1,0,2,12,0,1,1,2
"Mining, quarrying, and
oil and gas extraction",19,3,10,0,0,0,0,0,4,1,2,1
Construction,201,47,18,2,1,2,11,0,104,13,2,2
Manufacturing,"1,097",188,358,2,12,25,50,2,6,20,395,39
Durable goods,726,118,278,2,4,10,30,0,6,15,246,19
Nondurable goods,371,70,80,0,9,15,21,2,1,5,149,20
Wholesale and retail trade,"1,194",105,157,3,30,586,155,4,1,27,35,92
Wholesale trade,208,41,21,1,1,60,33,4,0,3,9,35
Retail trade,987,64,135,3,29,526,121,0,1,24,25,57
Transportation and utilities,403,43,33,0,7,4,78,0,5,17,5,211
Information,222,48,128,0,1,16,18,0,2,7,2,1
Financial activities,724,298,164,3,17,122,107,0,1,6,4,2
Professional and business services,"1,572",440,829,27,81,29,103,0,4,14,27,18
Education and health services,"2,103",158,"1,361",6,383,4,153,0,1,7,14,14
Leisure and hospitality,965,191,54,7,554,71,54,0,1,2,12,19
Other services,593,29,47,0,386,22,27,0,0,41,24,17
"Other services, except private households",570,28,46,0,365,22,26,0,0,41,24,17
Private households,23,1,0,0,21,0,1,0,0,0,0,0
Public administration,320,59,131,40,20,3,47,2,2,7,3,6
,,,,,,,,,,,,
NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data.,,,,,,,,,,,,
