Durable goods,"7,970","1,495","1,262",10,88,302,647,3,215,378,"3,034",536
Nondurable goods,"4,551",940,495,10,96,233,401,37,51,228,"1,662",396
Wholesale and retail trade,"15,515","1,219",853,48,486,"7,777","2,339",44,88,620,435,"1,606"
Wholesale trade,"2,923",447,135,5,28,"1,154",414,26,23,119,87,486
Retail trade,"12,591",772,718,44,458,"6,623","1,925",17,65,500,348,"1,120"
Transportation and utilities,"6,387",756,301,31,94,108,"1,271",6,153,435,307,"2,924"
Information,"2,126",442,854,5,54,209,286,0,14,202,24,35
Financial activities,"8,574","3,754",747,41,209,"1,936","1,593",0,41,146,31,76
Professional and business services,"15,179","4,169","4,941",369,"2,348",573,"1,772",9,123,218,228,431
Education and health services,"27,042","2,823","15,816",110,"4,783",84,"2,747",4,67,164,135,307
Leisure and hospitality,"10,918","1,660",832,157,"6,485",731,553,6,36,95,86,277
Other services,"5,918",615,773,11,"2,157",322,534,4,14,889,352,248
"Other services, except private households","5,262",609,771,11,"1,523",321,531,4,12,888,350,242
Private households,655,5,2,0,634,0,3,0,2,0,2,6
Public administration,"5,339","1,043","1,313","1,484",251,23,876,11,83,132,54,67
,,,,,,,,,,,,
Black or African American,,,,,,,,,,,,
Agriculture and related,54,8,2,0,5,0,0,26,2,1,2,7
"Mining, quarrying, and oil and gas extraction",38,10,7,0,0,0,2,0,10,2,2,6
Construction,726,85,16,4,4,6,25,0,498,45,9,35
Manufacturing,"1,636",150,136,5,33,33,136,8,20,65,839,211
Durable goods,949,86,92,4,12,18,73,0,15,40,512,98
Nondurable goods,687,64,44,1,21,15,63,8,5,25,327,112
Wholesale and retail trade,"2,310",91,103,6,102,"1,095",428,11,4,54,64,352
Wholesale trade,320,18,6,2,14,71,61,11,0,4,16,117
Retail trade,"1,991",72,97,4,88,"1,025",366,0,4,51,48,236
Transportation and utilities,"1,810",110,47,7,32,19,422,1,15,51,66,"1,041"
Information,312,57,88,4,13,36,63,0,1,38,3,8
Financial activities,"1,129",432,90,12,49,201,293,0,8,25,4,16
Professional and business services,"1,959",378,475,200,318,61,321,3,15,30,39,117
Education and health services,"5,418",452,"2,398",41,"1,851",18,500,0,12,26,22,98
Leisure and hospitality,"1,914",204,97,27,"1,166",225,105,0,1,11,27,51
Other services,811,69,121,2,351,40,62,0,4,79,47,36
"Other services, except private households",708,69,118,2,252,40,62,0,2,79,47,36
Private households,103,0,2,0,99,0,0,0,1,0,0,0
Public administration,"1,264",224,337,325,63,8,224,2,14,18,14,34
,,,,,,,,,,,,
Asian,,,,,,,,,,,,
Agriculture and related,40,10,1,0,1,0,5,17,0,1,1,4
"Mining, quarrying, and oil and gas extraction",28,3,19,0,0,0,5,0,1,0,0,0
Construction,219,65,21,0,1,1,9,0,98,17,4,2
Manufacturing,"1,069",194,354,3,10,25,51,1,6,20,368,37
Durable goods,727,130,264,3,5,15,26,0,5,16,246,15
Nondurable goods,343,64,90,1,5,10,25,1,1,4,121,22
Wholesale and retail trade,"1,119",103,157,2,38,504,174,3,2,19,35,82
Wholesale trade,187,37,20,0,2,67,32,3,0,2,4,22
Retail trade,932,66,137,2,36,437,142,0,2,18,31,61
Transportation and utilities,499,50,57,1,10,7,111,0,5,17,21,220
Information,235,47,151,0,0,12,14,0,0,5,4,1
Financial activities,805,360,188,3,13,131,95,0,5,7,2,2
Professional and business services,"1,887",568,"1,060",18,51,29,109,0,6,10,18,17
Education and health services,"2,296",191,"1,498",7,381,5,180,1,2,16,7,8
Leisure and hospitality,"1,005",174,37,3,599,93,61,0,3,1,13,21
Other services,639,33,47,1,399,27,35,0,0,48,41,8
"Other services, except private households",609,33,46,1,371,27,34,0,0,48,41,8
Private households,30,0,1,0,28,0,1,0,0,0,0,0
Public administration,338,79,134,31,32,1,47,1,4,2,2,6
,,,,,,,,,,,,
NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data.,,,,,,,,,,,,
