Agriculture and related,650,253,22,2,42,6,79,217,0,2,7,20
"Mining, quarrying, and oil and gas extraction",99,43,14,0,2,1,28,0,8,1,1,2
Construction,"1,173",316,82,4,14,32,444,0,247,14,7,14
Manufacturing,"4,295","1,014",525,9,66,230,682,3,14,46,"1,477",230
Durable goods,"2,314",570,315,5,29,87,406,0,12,32,760,99
Nondurable goods,"1,981",445,210,4,37,143,276,3,2,14,717,131
Wholesale and retail trade,"8,355",668,655,20,346,"4,278","1,291",18,5,17,212,845
Wholesale trade,"1,022",179,67,3,10,310,286,11,0,4,44,107
Retail trade,"7,333",488,588,16,336,"3,968","1,005",7,5,13,168,738
Transportation and utilities,"2,059",304,99,13,38,69,819,1,5,13,51,646
Information,"1,050",290,405,3,15,82,215,0,0,25,8,7
Financial activities,"5,524","2,276",460,20,77,"1,143","1,502",0,2,14,20,10
Professional and business services,"7,785","2,276","2,377",146,"1,029",255,"1,497",2,10,13,88,94
Education and health services,"25,432","2,506","14,297",58,"5,259",105,"2,918",1,8,16,99,165
Leisure and hospitality,"5,786",957,353,46,"3,274",592,437,1,1,5,52,69
Other services,"3,544",442,441,3,"1,930",88,449,3,2,23,114,50
"Other services, except private households","2,963",437,438,3,"1,371",88,441,3,2,23,110,48
Private households,581,5,3,0,559,0,8,0,0,0,4,2
Public administration,"3,481",770,"1,066",391,229,26,951,5,5,3,10,24
,,,,,,,,,,,,
White,,,,,,,,,,,,
Agriculture and related,"2,170",926,48,12,86,11,91,840,8,29,35,83
"Mining, quarrying, and oil and gas extraction",596,129,85,1,6,9,33,0,188,37,51,58
Construction,"9,552","2,018",268,11,41,134,500,3,"5,660",530,128,258
Manufacturing,"11,600","2,414","1,699",27,130,547,965,16,264,564,"4,121",852
Durable goods,"7,332","1,491","1,234",15,57,301,596,6,209,354,"2,601",466
Nondurable goods,"4,268",923,465,12,72,246,369,10,56,209,"1,520",386
Wholesale and retail trade,"14,911","1,341",886,56,467,"6,964","1,574",39,110,574,468,"2,432"
Wholesale trade,"2,805",448,123,7,28,"1,020",377,23,22,128,97,532
Retail trade,"12,106",893,763,49,439,"5,945","1,197",16,87,446,371,"1,900"
Transportation and utilities,"6,196",816,314,31,63,111,"1,265",2,180,424,282,"2,707"
Information,"1,974",514,815,4,26,163,233,0,11,168,20,21
Financial activities,"8,431","3,756",755,37,169,"1,908","1,529",1,38,133,33,70
Professional and business services,"14,605","4,090","4,948",314,"2,250",502,"1,536",12,125,220,209,399
Education and health services,"25,818","2,883","15,241",140,"4,313",113,"2,509",5,61,160,133,260
Leisure and hospitality,"8,690","1,595",639,122,"4,859",586,447,7,25,76,77,258
Other services,"5,296",635,796,15,"1,741",289,458,3,20,839,283,217
"Other services, except private households","4,772",630,790,15,"1,249",289,450,3,20,839,280,208
Private households,523,5,6,0,492,0,8,0,0,0,3,9
Public administration,"5,502","1,060","1,437","1,482",267,23,903,13,76,113,62,67
,,,,,,,,,,,,
Black or African American,,,,,,,,,,,,
Agriculture and related,66,6,5,0,4,1,1,38,2,3,2,4
"Mining, quarrying, and oil and gas extraction",31,4,2,0,0,0,0,0,12,2,3,8
Construction,647,80,25,2,2,6,19,2,417,52,11,31
Manufacturing,"1,492",148,130,5,30,32,103,1,22,65,744,212
Durable goods,868,96,88,1,15,12,55,0,15,45,424,117
Nondurable goods,624,53,42,4,15,20,48,1,7,20,320,96
Wholesale and retail trade,"2,232",117,121,9,80,948,230,2,11,37,62,615
Wholesale trade,298,28,17,2,7,51,34,1,2,8,19,129
Retail trade,"1,934",89,104,7,73,896,196,2,10,29,43,486
Transportation and utilities,"1,599",117,40,9,25,27,399,1,21,52,47,862
Information,298,59,98,2,6,23,67,0,2,39,2,0
Financial activities,"1,115",461,97,17,33,190,274,0,7,20,6,10
Professional and business services,"1,868",366,482,183,320,38,296,0,13,31,30,109
Education and health services,"5,055",517,"2,282",31,"1,598",16,471,0,16,26,24,74
Leisure and hospitality,"1,463",190,75,12,855,175,81,0,5,6,19,47
Other services,693,77,108,2,271,34,42,0,3,74,34,48
"Other services, except private households",630,77,108,2,212,34,42,0,3,74,31,47
Private households,62,0,0,0,59,0,0,0,0,0,3,0
Public administration,"1,314",243,354,315,72,9,249,0,10,15,11,36
,,,,,,,,,,,,
Asian,,,,,,,,,,,,
Agriculture and related,28,7,3,0,0,0,2,12,0,0,3,1
"Mining, quarrying, and oil and gas extraction",29,10,13,0,0,0,3,0,1,0,0,1
Construction,216,50,35,0,0,2,15,1,94,13,2,3
Manufacturing,"1,024",209,357,2,10,31,45,0,6,16,300,47
Durable goods,674,132,257,0,5,15,29,0,4,12,200,21
Nondurable goods,350,77,100,2,5,16,16,0,2,5,100,26
Wholesale and retail trade,"1,080",105,166,1,37,496,82,3,1,19,26,143
Wholesale trade,182,33,25,0,1,68,20,3,0,3,7,21
Retail trade,898,72,141,0,36,428,61,0,1,16,19,122
Transportation and utilities,464,53,40,4,10,10,114,0,3,19,10,199
Information,252,64,158,0,2,8,15,0,0,4,1,1
Financial activities,837,392,208,0,10,129,88,0,2,3,3,1
Professional and business services,"1,790",493,"1,025",25,60,31,103,0,5,18,17,12
Education and health services,"2,132",181,"1,429",2,328,7,161,0,4,7,4,9
Leisure and hospitality,726,151,39,3,426,49,34,0,2,3,6,14
Other services,516,27,55,1,303,16,24,0,0,35,48,7
"Other services, except private households",478,24,54,1,273,16,24,0,0,35,45,6
Private households,38,3,0,0,31,0,0,0,0,0,3,1
Public administration,344,76,147,37,29,1,43,0,2,3,3,4
,,,,,,,,,,,,
"NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years.",,,,,,,,,,,,
