position,company,description,reviews,location
Research Analyst (REIT) (1-294),Brokerage Consultants Inc.,"The Research Analyst will join a team of fundamental Global Real Estate
analysts supporting portfolio management. Will take ownership of a coverage
list, contribute to overall research process, consistently generate risk
adjusted excess return ideas supported by thorough bottom-up research, and
sell ideas to the team.

RESPONSIBILITIES:
Provide in-depth analysis and estimate intrinsic fair values for over 25
companies within REIT space
Create/maintain complex financial models incorporating analytical insight
from top-down/bottom-up investment research process, including discounted
cash flow analysis/net asset valuation
Take ownership of primary coverage list; contribute to excess return versus
benchmark with buy/sell/hold recommendations to Portfolio Managers
Challenge consensus assumptions with research findings, particularly those
garnered through field research
Maintain relationships and proactively communicate with senior management of
covered companies and industry contacts
Assist with marketing and prospective client due diligence as needed
Exchange complex information effectively to reach agreement in
ambiguous/difficult situations
Receive operational/strategic direction from senior leadership
Collaborate with fellow team members to achieve objectives within project
timelines
Perform other duties as required by senior management

REQUIREMENTS:
Bachelorâ€™s degree in finance/accounting
4+ years of real estate investment experience with expertise/knowledge of
REIT space
Advanced degree (MBA, CPA and/or CFA designation) strongly desired
Foreign language proficiency/fluency, cultural knowledge and travel
experience preferred
Excellent communication/analytical/presentation skills; comfortable speaking
with senior management of companies under coverage; able to make timely
decisions in a high-paced dynamic environment, sometimes with incomplete
information
Willingness to travel (25-50% travel; primarily domestic) to tour
properties, attend conferences and meet with company management",NA,"Chicago, IL 60601"
Application Analyst Sr. - Epic Research Billing,Ann & Robert H. Lurie Childrenâ€™s Hospital of Chicago,"Overview
Supports information management needs of various client departments or workflows across the organization through project coordination, applications implementation, upgrades, and ongoing maintenance or enhancements. Manages small and medium sized projects as well as mentors less experience staff. Provides guidance for assigned applications.

Experienced certified Resolute Hospital Billing or Resolute Professional Billing Analysts desired. Certification in Epic Research Billing Tools strongly preferred. Experience in providing support for research billing functionality desired.
Assists the hospital in optimizing workflow processes through implementing and supporting applications that are tailored to meet the hospitalâ€™s needs. Obtains Epic certification and learns the Epic systemâ€™s capabilities and functional use. Applies their knowledge of patient care and/or business workflows to assist in the continued implementation of systems that meet process needs; supports the information management needs of various client departments and workflows across the organization through project coordination, application(s) implementation, upgrades, ongoing maintenance and enhancements.
Responsibilities
Area Specific Job Accountabilities:
Provides application implementation support, technical guidance, and serves as primary resolution point for all issues regarding assigned applications.
Works with complex workflows or workgroups, demonstrating knowledge of integrated workflows and applications and problem analysis to provide system solutions for organizational needs.
Works collaboratively with end-users to understand workflows and develop system support, including analysis of business needs and user needs, translation into proper system requirement specifications and documentation of requirements.
Manages small to medium-sized assigned projects or particular phases of a larger projects, with minimal supervision. Develops and creates detailed work plans, timelines and other appropriate documentation, identifies appropriate resources needed and provides timely status reports.
Provides data transfer, access and manipulation of aggregate and comparative data.
Provides assistance with system selection, system maintenance/upgrade and implementation, including system definition, build, testing and conversion planning and interfaces.
Develops and monitors testing scenarios and methodologies to demonstrate system effectiveness. Prepares and maintains documentation on testing plans.
Participates in completion of user documentation and training procedures.
Evaluates system utilization and performance. Participates in system optimization.
Guides and advises less-experienced application analysts.
Adheres to HIPAA regulations for transactions, security and confidentiality.
Performs job functions adhering to service principles with customer service focus of innovation, service excellence and teamwork to provide the highest quality care and service to our patients, families, co-workers and others.
Qualifications
Bachelorâ€™s Degree in Information Technology or Health Care field with related training. A combination of education and/or experience may be considered in lieu of the degree when the experience has been directly related to the functions of the job.
Minimum four years of experience installing/supporting applications and systems analysis/design and integration/design. Experience in a healthcare related field preferred.
Certification, or equivalent, for a minimum of two application areas, if applicable for assigned applications.
Experience in modality integration including DICOM, HL7 interfaces and workstation technical support is necessary for ancillary department assignment.
Working knowledge of personal computers and Microsoft Windows OS and applications.
Excellent facilitation and project management skills. Ability to manage assigned projects to specified budget and time line with minimal supervision. Must be able to prioritize, organize and assess work in order to meet aggressive deadlines and cope in fast-paced environment.
Excellent analytical, written and oral communication skills. Ability to articulate facts and ideas clearly and concisely. Demonstrated ability to analyze problems and clearly articulate potential solutions.
Competent to work at the highest technical level of most phases of system analysis, while able to consider business implications of the application of technology to the current and future business environment.
Excellent customer service and interpersonal skills. Capable of working in a diverse, multi-disciplinary team and interacting with all levels of the organization.
Ability to maintain a high level of integrity and confidentiality relating to employee/patient and hospital.",178,"Chicago, IL"
Lead Analyst - Geo Analytics,The Boston Consulting Group,"BCG's Advanced Analytics group GAMMA Solutions &amp; Services (S&amp;S) delivers powerful analytics-based insights designed to help our clients tackle their most pressing business problems. We partner with BCG case teams and practices across the full analytics value chain: Framing new business challenges, building fact-bases, designing innovative analytics workflows, training colleagues in new methodologies and interpreting findings for our clients. The GAMMA S&amp;S team is a global resource, working with clients in every BCG region and in every industry area. It is a core member of a rapidly growing analytics enterprise at BCG â€“ a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches.

BCG has established GAMMA S&amp;S to support case teams in managing and realizing insight and opportunity by application of advanced analytics to our clients' problems. Data Engineers, Data Scientists, Scientific Modelers, Scientific Programmers, Data Visualization Specialists as well as Geospatial Analysts are the core of the GAMMA S&amp;S team. They work closely with case teams to provide both consultation on analytics topics and hands-on support, focusing on data engineering, advanced analytics tools, modelling, visualization, and bespoke client-facing analytics deliverables.

The Lead Analyst â€“ Geo Analytics will support the functional lead of our geo analytics engagements across North America with shaping our geo analytics approach and ensuring high quality of delivery including the management of escalations and issue resolution. The candidate will join a growing team with a global presence, and will work with both clients and case teams worldwide. Successful candidates shall possess advanced analytical technical expertise in the field of geospatial analysis, strong collaborative and execution capabilities, excellent communication skills, a practical and flexible mindset and high attention to detail and work quality.
Set the stage for Geo Analytics
Help shape and execute the strategy for geo analytics as a key GAMMA area within North America
Collaborate on GAMMAs global geo analytics footprint with functional peers in Europe and Asia/Pacific
Develop and implement best-practice for geo analytics across North America
Drive thought leadership on geo analytics within BCG including full responsibility for selected internal projects
Oversee geo analytics project execution: Business requirement gathering, analysis, implementation of solutions
Act as a thought partner with case teams and provide problem solving and geospatial expertise insights, guide case teams to avoid pitfalls and hurdles
Collaborate with case team members to write prioritized business requirements documentation, including scope definition and statement of work as well as information needs from clients
Work with case team members on tool selection, data setup, exploratory analysis at scale, implementation and client enablement through proof-of-concepts and trainings
Plan and execute high quality geospatial analysis of large datasets, analyzing and interpreting collected data for clients
Assess and choose appropriate geospatial specific tools to conduct analysis work
Deliver accurate, fully tested output and documentation that meets business requirements
Perform quality assurance according to standards and guidelines for client projects
Manage escalation and advocate best practice in quality assurance
Identify client needs and discuss findings with key stakeholders
Find fast, high-quality solutions through direct involvement if required, communicate with all relevant stakeholders
Handle demanding internal and external clients in a positive, service-oriented way, building a solid, mutually respectful relationship
Prevent issues through case review, documentation and constant quality improvement
Drive initiatives to develop best practice regarding geo analytics project approach and advocate it within the geo analytics function
Suggest required investments to improve quality and capability of the team
Supervise knowledge teams
Advise and train team members, actively share knowledge
On-board new team members, provide day-to-day coaching
Participate in recruiting and resource deployment (staffing) according to business needs
Provide training, assistance and support to clients
Provide quick-response support to case teams on subject matter expertise
Train clients, consultants and team members on the use of tools and methods
Other
Perform internal team projects and duties as required
Travel depending on project requirements

Basic Job Requirements
Education &amp; Experience:
Undergraduate degree related to geography, geo statistics, applied mathematics, computer science or data science is required, advanced degree is preferred
5+ years of industry experience or 3+ years of consulting experience focused on geospatial analysis or related areas
Previous experience in real estate analytics, route optimization, geographic pricing, network rollout optimization
Working experience in a global organization or professional services company is preferred
Experience with collaboration tools &amp; ticketing systems (e.g. JIRA, Confluence, GitHub) is preferred
Fluent written and spoken English (other languages desirable)
Key Competencies
Professional capabilities
Problem solving, communication, interpersonal and teaming skills
Ability to effectively handle difficult and stressful situations with poise, tact and patience
Ability to anticipate, identify, and solve critical problems
Excellent interpersonal and communication skills
Ability and willingness to give and receive honest, balanced feedback
Ability to act as thought partner and expert with stakeholders at different levels
Work management, organization and planning
Excellent organizational skills, attention to detail, efficient time management
Proactive communication of issues, priorities and objectives
Ability to thrive in a dynamic, fast-paced, demanding environment
Customer and business focus
Strong collaborative skills and ability to adjust approach to effectively interact with clients
Focus on excellent client service and close attention to client needs
Values and ethics
Demonstrates competence and character that inspires trust
Flexible, self-motivated, and proactive out-of-the-box and critical thinker
Able to respect all BCG and client information as personal and confidential
Technical expertise
Experience in core GeoAnalytics activities (one or more of the following):
Data management skills (e.g. data modeling, data integrity QA/QC, database administration)
Geospatial data visualization and analytics (specialties such as cluster detection, geo-statistical methods, spatio-temporal modeling)
Network analysis (location-allocation, travelling sales person, vehicle routing problem)
Predictive modeling (logistic regression, linear regression, etc.)
Familiarity with a broad base of analytics tools (one or more of the following):
GIS toolkits (ESRI, Quantum GIS, MapInfo, Meridian or similar)
Web Mapping portals (MapBox, CartoDB)
SQL, including geospatial types and functions
R, SAS, SPSS
ESRI Network Analyst, RouteSmart, RoadNet, llamasoft Supply Chain Guru or similar
Tableau, Alteryx
Web programming (e.g. javascript, web server administration, CGI)
Programming and/or scripting experience preferred: e.g. SQL (including spatial objects and functions), Python, Perl, C#, VBA, Java
Company Information
The Boston Consulting Group (BCG) is a global management consulting firm and the worldâ€™s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. Our customized approach combines deep insight into the dynamics of companies and markets with close collaboration at all levels of the client organization. This ensures that our clients achieve sustainable competitive advantage, build more capable organizations, and secure lasting results. Founded in 1963, BCG is a private company with offices in more than 90 cities in 50 countries. For more information, please visit bcg.com.
Non-discrimination Statement
The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations. BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor",198,"Chicago, IL 60654"
Sr. Business Analyst (Insights & Analytics),US Foods,"Sr. Business Analyst (Insights &amp; Analytics) - 18001429
Description-
These positions can be located in Rosemont, Illinois and/or Tempe, Arizona.

The Sr. Business Analyst (Insights and Analytics) is responsible for leading analytical support to relevant business partners. Analytical support includes conducting and delivering analyses, development and delivery of ad hoc and regular reports, and developing analytics and processes to support business partnersâ€™ strategies.

This role is aligned with multiple teams within Insights and Analytics and can support various focus areas. Placement on a team and alignment with a focus area will be determined based on the teamâ€™s needs and the candidateâ€™s areas of expertise and interest.
Examples of teams with Senior Business Analyst role: Commercial Business Analytics, Supply Chain Business Analytics, Data Strategy, and Decision Sciences.
Examples of focus areas for the Senior Business Analyst role: Category Management, Marketing, Sales, Supply Chain, Data Governance, and Advanced Analytics Programs.
Analytics and Solution Development:

Lead analyses for business partners to enhance goals of their program(s). Analyses includes working with Data Scientists to gather and cleanse data; incorporating and interpreting mathematical analyses with Decision Sciences team; and developing insights from analyses.
Partners with Data Scientists and Decision Scientists on the types of business problems that can be solved; on how to problem solve for an approach on the data sets required; and on the methodology required
Synthesize analyses and develop clear and concise communications and presentations to business partners. Present analyses to business partners with extremely limited oversight and supervision.
Own relationships with all business partners including Directors, Managers, and Leads of assigned business function and other business partners
Serve as Subject Matter Expert (SME) and thought leader of applicable analytics for assigned business function, including applicable analytics, appropriate applications today and in the future
Conducts complex root cause analysis on business problems for business partners, in partnership with Data Scientists, to identify insights that inform and drive key business decisions

Tools and Reports Development:
Lead thought leadership in areas of tools and reports development. Create ad hoc and regular reports to meet business needs.
Lead development of tools and reports for end users, including developing requirements, reviewing user stories, evaluating IT development progress, managing User Acceptance Testing, and training end users
Trains teammates on 1:1 or group basis on use of key tools and reports
Serve as a â€˜Power Userâ€™ of custom and 3rd party applications, advanced querying and complex data aggregations and analyses not supported by a single application
Collaborates with IT, consultants, and end users
Serve as Subject Matter Expert (SME) of applicable tools, databases, and systems
Engages with and contributes to Business Intelligence Center of Excellence (BI CoE) on best practices, lessons learned, and knowledge sharing on analytics and tools across the enterprise

Strategy, Process and Tools:
Identify and develop analytics to support and measure strategies for business partners
Influence and evangelize analytical methodologies to support business partnersâ€™ needs
Identify and implement opportunities to standardize processes through analytics and tools
Lead integration of strategies, analytics, processes, and tools
Develop and refine core best practices to enhance the influence of Insights &amp; Analytics across the organization
SME on processes and tools
Collaborate with business function(s) on analytical needs for project needs (e.g., actively participate in functional meetings and cross-functional project planning meetings)

Travel
Available for occasional travel as business requires (less than 5% of time)

Qualifications-

Education / Training:

Bachelorâ€™s degree in Business / Marketing / Finance / Operations/ Supply Chain Management/ Engineering or related quantitative field required

Related Experience:
5+ years demonstrated successful experience in analytical roles in statistical analysis, business analysis, data analysis, data reporting
5+ years demonstrated successful experience in analytical roles
5+ years demonstrated successful experience in food distribution, retail, CPG, or related industries with large datasets and transactional data

Knowledge / Skills / Abilities:
Business Strategy and Analytics:
Strong cross-functional business acumen
Cross-functional expertise across multiple business functions
Excellent data manipulation and analysis skills
Ability to think logically and analytically
Detail oriented
Able to take complex, ambiguous problems, break them down into smaller parts, and problem solve to come up with a whole, integrated, and strategic solution
Creative problem solver
Self-direction and Team Work:
High degree of motivation
Ability to work independently and within a team
Very consistent ability to build consensus and lead work streams
Highly organized with the ability to multitask and prioritize workloads
Proven ability to provide direction and oversight of project completion
Has successively led multiple cross-functional projects
Communication:
Strong verbal and written communication skills
Strong presentation skills
Able to communicate complex concepts clearly
Ability to influence change within complex organizations
Ability to relate to others
Strong knowledge of information visualization best practices and strategies
Has taken (or is enrolled in) and applying Insights and Analytics learning curriculum for Change Management, Project Management, and Presentations that Rock/Presentations that Deliver; or has attended similar related training initiatives
Demonstrated ability to train varied audiences on analytics principles, tools, and leading analytics practices
Proficiency in the following required:
MS Office Suite, including:
Microsoft Outlook
Microsoft Excel (e.g., pivot tables; slicer; vlookup, hlookup; formulas; if then statements)
Microsoft PowerPoint (e.g., update presentations; create graphs, tables and other data visualization techniques)
Microsoft Word
Data querying methodologies and languages (e.g., SQL)
Tableau or related visual presentation/reporting tool
Cloud-based data warehouse environments (e.g., Snowflake/Redshift)
Proficiency, active development, knowledge of, or application within at least two of the following a plus:
Open Source Technology (e.g., Python, R)
MS Access
3rd party tools with embedded querying, reporting, and analytical applications (e.g., functional tools used in marketing, sales, or supply chain)
***EOE Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Protected Veteran/Disability Status***

Primary Location: IL-Chicago Metro-Rosemont
Schedule: Full-time Shift: Day Job
Job Function: Business Strategy
Job Level: Individual Contributor",1909,"Chicago, IL"
Sr Quantitative Finance Analyst,Bank of America,"Job Description:

Global Risk Analytics (GRA) is looking for a quantitative analyst to join its Model Standards and Oversight (MSO) team. The analyst will focus on improving all aspects of GRAâ€™s model documentation, including writing standards, technical exposition, content automation, infrastructure standardization and review processes.
This is a challenging and intellectually stimulating role, offering exposure to an extensive set of models across all areas of risk and drawing on a broad range of skills. The successful candidate will possess the mathematical skills necessary to understand the underlying models, the writing and communication skills necessary to produce and advise on model documentation, and the ability to exert broad influence.

Key tasks include the following:
Enhance standards for GRAâ€™s model documentation
Standardize the infrastructure used by GRA to produce model documentation
Influence GRAâ€™s broad variety of teams to improve their model documentation standards
Automate and standardize GRAâ€™s documentation processes
Influence GRAâ€™s key partners to enhance documentation processes
Review and edit critical, regulatory model documentation submissions
Help establish appropriate skillsets within GRAâ€™s modelling teams
Key Competencies
Demonstrates Effective Documentation
Leverages Technology
Drives Operational Excellence
Demonstrates Analytical Ability
Required Skills

Numeracy
Ability to produce technical documentation of a quantitative nature
Ability to understand a broad range of finance models
Ability to influence others
Excellent verbal and written communication skills
Desired Skills

Ability to apply Excel, VBA, LaTeX, Word and SDLC tools such as JIRA

Shift:
1st shift (United States of America)

Hours Per Week:
40",21952,"Chicago, IL 60603"
Senior Research Analyst,The University of Chicago,"Job Information
Job Summary:

The UChicago Crime Lab and Urban Education Lab are seeking a Senior Research Analyst with strong technical skills to work on large-scale social policy experiments designed to test the effectiveness and cost-effectiveness of youth violence prevention and educational interventions. The Senior Analyst will work on a small portfolio of projects across the areas of both criminal justice and education, develop and manage processes and procedures for collaborative data access and use, and support broader organizational development activities.


The successful candidate will have experience in applying a variety of statistical modeling approaches to large datasets in real-world settings. From project inception to delivery, the Senior Research Analyst will contribute to all facets of data collection &amp; cleaning, model development, and implementation. This position requires an individual who is able to work as a part of small research teams running multiple projects concurrently, and can work with multiple departments across the organization to implement ideas. The position offers the opportunity to work directly with leading social policy researchers, at the University of Chicago and NYC-area universities, local city agency staff, as well as a team of administrative staff, other analysts, research managers, and student research assistant.

Responsibilities:
Lead data analysis and management on a small portfolio of research projects by cleaning, merging, matching, sampling, modeling, and randomizing data
Prepares results for memos, spreadsheets, and presentations targeting both policymakers and academic researchers
Serves as an in-house expert for one or more key administrative datasets, and advises research staff to ensure consistent use of data
Provides consultation to staff on advanced statistical techniques such as randomization, power calculations, data transformations, econometrics, etc.
In partnership with Associate Director of Data and Analytics, Research Directors, Executive Director, and/or Sr. Research Managers assists with internal coordination and management of data requests to partner agencies
Support development and management of data operations, which could include quality assurance processes, creating code standards, and building templates and tools for data management and visualization
Partner with the Talent Manager to help recruit, screen, and hire new talent, and create data exercises and other recruitment and onboarding tools
Work with the management team on issues of organizational development and leadership, potentially including identifying areas for staff development and professional development
May supervise other research staff and provide guidance on professional development, goal setting, and lab- or organization-wide opportunities
Other duties as assigned

Competencies:
Strong interest in social policy required
Strong quantitative skills required
Strong written and verbal communication skills required
Ability to manage multiple projects simultaneously and meet tight deadlines required
Excellent organizational skills and attention to detail required
Excellent data visualization ability required
Ability to work both independently and as a team member required
Ability to work discretely with sensitive and confidential data required
Knowledge and understanding of crime policy, violence and/or education research literature preferred


Additional Requirements
Education, Experience or Certifications:
Education:
Advanced degree preferred and Bachelor's degree required in economics, sociology, public policy, statistics, computer science, or a closely related field

Experience:
A minimum of three years of relevant research experience required
Experience working with Stata, R or other programming languages required

In addition, though none of the following are required for the position, candidates are encouraged to highlight experience in the following areas:
Managing analytic staff
Working with large, complex, and/or administrative datasets
Working with field experiments or randomized controlled trials
 Program evaluation methods (e.g., difference-in-differences, propensity score matching, regression discontinuity)

Required Documents:
Resume
Cover letter
Writing sample
NOTE: When applying, all required documents MUST be uploaded under the Resume/CV section of the application.



Benefit Eligibility
Yes


Pay Frequency
Monthly


Pay Range
Depends on Qualification


Scheduled Weekly Hours
37.5


Union
Non-Union


Job is Exempt?
Yes


Drug Test Required?
No


Does this position require incumbent to operate a vehicle on the job?
No


Health Screen Required?
No


Posting Date
2018-05-08-07:00


Remove from Posting On or Before
2018-11-08-08:00",368,"Chicago, IL"
Technical Research Analyst - Cryptoassets,DRW,"Cumberland - a DRW Company is the cryptoasset arm of DRW, established in 2014 after early interest in cryptoassets and their underlying technology. Today, Cumberland is a global leader in cryptoassets, uniquely positioned between the traditional financial markets and the cryptoasset ecosystem. From our offices in Chicago, London and Singapore, we specialize in providing 24-hour institutional sized liquidity in all cryptoassets.

The Technical Research Analyst will spearhead cryptoasset research-related initiatives across the organization with a primary emphasis on the technical merits of various protocols and other projects. This role will be focused on researching potential investment opportunities in new and existing cryptoassets by speaking to development teams and building a deep understanding of the blockchain ecosystem.

Responsibilities:

Lead research-based due diligence efforts for the business; advise the investment team on various protocols and technologies
Maintain ongoing dialogue with the leading protocol development teams to deepen understanding of various protocols and stay abreast of changing landscape
Perform in-depth research on various tokens, with an emphasis on examining the underlying technical elements
Act as the teamâ€™s expert on technical aspects of all tokens
Actively communicate with the business development team on pertinent research
Develop relationships with industry participants

Required Skills &amp; Experience:

Computer Science degree; Masters or PhD preferred
5+ years of programming experience
Solid understanding of and passion for blockchain technology and crypto-economics
Strong knowledge of different consensus protocols such as PoW, PoS, BFT, DAG, PoA
Knowledge of and experience coding in Solidity
Strong understanding of underlying technical concepts related to general cryptography (e.g. SHA-256, Equihash, zk-SNARK) and various protocols (e.g. PoW, PoS, BFT, DAG)
Ability to conduct deep technical conversations with token development teams
Ability to explain complex concepts in simple terms to a non-technical audience
Must have positive, team-focused attitude and strong collaboration skills
Initiative and ability to work independently to drive projects to completion
Strong sense of urgency and ability to work in a fast-paced environment

Preferred Skills &amp; Experience:

Experience working at a high-growth tech startup or buy/sell side financial services company
Experience working with and analyzing large sets of data
Foreign language skills (Chinese, Korean, Japanese)
Previous experience contributing code to a cryptoasset project

",NA,"Chicago, IL"
"Research Professional, Sr. Analyst",The University of Chicago,"Job Information
Job Summary:

Housed within the University of Chicago's School of Social Service Administration, the Center for Youth Violence Prevention is seeking a research professional with advanced statistical training and skills in the area of prevention science.

Responsibilities:
Under the direction of investigators within the Center, this individual will participate in all aspects of research conducted through the Center including overseeing all aspects of data collection and management, as well as conducting data analyses.
This individual will assist with the preparation of reports, manuscripts and other documents.
This role also presents scholarly opportunities, including manuscript writing and conference presentations.

Competencies:
Knowledge of the interdisciplinary field of prevention science required.
Organizational skills required.
Knowledge of regulatory policies and procedures required.
Advanced knowledge of research techniques or methods required.
Analytic thinking skills required
Knowledge of advanced statistical methods required.
Ability to translate and convey complex concepts and study findings in oral and written communications required. Excellent problem-solving skills required.
Ability to manage multiple, concurrent tasks required. Interpersonal skills, with the ability to collaborate with others in research design and implementation required.
Ability to work independently with a high degree of initiative required.





Additional Requirements
Education, Experience or Certifications:
Education:
Ph.D. degree in psychology, social work, public health or other relevant social science field required.

Experience:
A minimum of two years related research experience required.
Experience using advanced statistical methods required.
Experience working in community settings required, preferably in urban neighborhoods.

Technical Knowledge or Skills:
Knowledge of Microsoft Office required.

Required Documents:
Cover Letter
Curriculum Vita
References Contact Information
NOTE: When applying, all required documents MUST be uploaded under the Resume/CV section of the application.






Benefit Eligibility
Yes


Pay Frequency
Monthly


Pay Range
Depends on Qualification


Scheduled Weekly Hours
37.5


Union
Non-Union


Job is Exempt?
Yes


Drug Test Required?
No


Does this position require incumbent to operate a vehicle on the job?
No


Health Screen Required?
No


Posting Date
2018-06-06-07:00


Remove from Posting On or Before
2018-12-06-08:00",368,"Chicago, IL"
Statistical Analyst Sr,Northwestern University,"The Senior Statistical Analyst leads data management and analysis team involved in querying, extracting, managing and analyzing multiple, complex datasets ensuring data integrity, quality, and timeliness of results. Oversees the deployment of reporting and analytical solutions. Serves on related committees and task forces.
Under the direction of the principal investigator, incumbent identifies and conducts appropriate data management and statistical analysis for sponsored and non-sponsored research projects, coordinates and mediates with senior researchers on statistical issues, actively participates in publication and presentation of results both in support and as a lead author. This position implements data management structures as necessary.
Primary Responsibilities:
Strategic Planning
Manages and plans for data/analysis requests and projects.
Provides consultation to customers on appropriate data management, methodological issues and statistical analyses.
Collaborates with technical staff explaining needs of functional users.
Administration
Designs and prepares documentation for data management and/or data analyses.
Performs descriptive analyses for clients.
Creates data tables and graphs.
Writes reports for presentation and publication.
Presents results at internal/external meetings.
Development
Manages research and analysis using several databases and/or data tables.
Determines appropriate sources of data based on requests.
Designs and writes programs for data entry, data editing, data management, periodic reporting, and quality control monitoring and statistical analyses.
Prepares and analyzes reports/data
Extracts required data.
Determines and coordinates the completion of statistical analyses using appropriate applications.
Performance
Develops and tests reports and analysis.
Identifies and work with data stewards to resolve data conflicts
Supervises
Provides work direction and/or supervises staff such as team members, subordinates, contractors, vendors, students, etc.
Coaches and mentors staff.
Manages projects ensuring timelines and deliverables are met and meet expectations.
Miscellaneous
Performs other duties as assigned.
Minimum Qualifications:
Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree; OR appropriate combination of education and experience.
6 years' data analysis/report writing or similar experience.
Experience with SAS programming language.
Analytical skills including critical thinking, data mining, data modeling data warehouse design/develop, database design/ data structure.
Project Code documentation collaboration and teamwork, cost/benefit analysis, evaluate resources, organizational skills, planning workflow development &amp; documentation.
Proficient with SAS and/or STATA.
Background in research methodology.
Ability to work in a team environment.
Strong written and verbal communication skills.
Successfully works on multiple projects simultaneously.
Preferred Qualifications:
Successful completion of a full course of study in an accredited college or university leading to a master's degree in biostatistics, epidemiology, public health or a related field or the equivalent combination and experience in statistics, data management and statistical data processing from which comparable knowledge and abilities can be acquired.
Experience in research-related programming, data management and statistical data processing.
Experience with data management and analysis of administrative data, particularly Medicare claims data.
More than 5 years of experience in research-related programming, data management and statistical data processing ' specifically with Medicare data.
Experience writing scientific manuscripts.

As per Northwestern University policy, this position requires a criminal background check. Successful applicants will need to submit to a criminal background check prior to employment.

Northwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes, including veterans and individuals with disabilities. Women, racial and ethnic minorities, individuals with disabilities, and veterans are encouraged to apply. Hiring is contingent upon eligibility to work in the United States.",320,"Chicago, IL"
Senior Statistical Analyst,US Cellular,"-
FIN000826

As part of the Finance department, the U.S. CellularÂ® Shared Analytical and Data Services team (SANDS) is comprised of highly technical resources with diverse backgrounds in data warehousing, business intelligence, analytics, forecasting, an",1504,"Chicago, IL"
